epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6047,2.34503,3.2544,2.23725,0.00267,0.25806,0.00504,0.00144,3.22914,4.04613,3.16257,4e-05,4e-05,0.09604
2,28.4342,2.23207,3.23316,2.1884,0.00267,0.25806,0.00626,0.00127,3.28056,3.96584,3.40903,8.9406e-05,8.9406e-05,0.0910894
3,42.4348,2.32459,3.43537,2.22992,0.00233,0.22581,0.00488,0.00104,3.27958,3.89289,3.44204,0.000138152,0.000138152,0.0861382
4,56.2555,2.12857,3.11107,2.05309,0.003,0.29032,0.00678,0.00174,3.2093,3.86703,3.26672,0.000186238,0.000186238,0.0811862
5,70.3799,2.12643,3.06923,2.14435,0.00333,0.32258,0.00619,0.00179,3.19743,3.91971,3.31707,0.000233664,0.000233664,0.0762337
6,84.2734,2.23153,3.08316,2.08362,0.00367,0.35484,0.00692,0.00204,3.14778,3.89593,3.3153,0.00028043,0.00028043,0.0712804
7,98.323,2.10477,3.04509,2.09477,0.00533,0.51613,0.02693,0.0043,2.93302,3.87551,2.96946,0.000326536,0.000326536,0.0663265
8,112.252,1.95925,2.9901,1.94046,0.00533,0.51613,0.04788,0.01128,2.78406,3.73451,2.68709,0.000371982,0.000371982,0.061372
9,125.884,2.00225,2.95768,1.97538,0.00533,0.51613,0.06929,0.01849,2.61431,3.64129,2.5272,0.000416768,0.000416768,0.0564168
10,139.69,1.93094,2.9245,1.94861,0.00467,0.45161,0.06317,0.03263,2.55906,3.70993,2.56694,0.000460894,0.000460894,0.0514609
11,153.598,2.10538,2.94822,2.05087,0.03235,0.22581,0.06402,0.03123,2.45011,3.69968,2.40212,0.00050436,0.00050436,0.0465044
12,167.615,2.00326,2.83283,1.90241,0.21409,0.06452,0.06325,0.02877,2.45762,3.76232,2.38357,0.000547166,0.000547166,0.0415472
13,181.753,1.97296,2.78501,1.89658,0.29788,0.03226,0.05662,0.03196,2.48422,3.87065,2.4045,0.000589312,0.000589312,0.0365893
14,195.846,1.83976,2.66665,1.82357,0.29788,0.03226,0.05662,0.03196,2.48422,3.87065,2.4045,0.000630798,0.000630798,0.0316308
15,209.957,2.03031,2.79544,2.00463,0.13496,0.06452,0.06702,0.03928,2.55697,3.67398,2.44605,0.000671624,0.000671624,0.0266716
16,224.163,2.01984,2.80149,1.97057,0.13661,0.12903,0.05414,0.02034,2.70479,3.61338,2.52531,0.00071179,0.00071179,0.0217118
17,238.199,2.08544,2.79758,1.92532,0.21464,0.09677,0.0578,0.01818,2.72302,3.66071,2.52872,0.000751296,0.000751296,0.0167513
18,252.191,1.8967,2.73644,1.9259,0.21464,0.09677,0.0578,0.01818,2.72302,3.66071,2.52872,0.000790142,0.000790142,0.0117901
19,266.125,1.95925,2.76773,1.94606,0.20839,0.09677,0.08804,0.03291,2.67565,3.66945,2.53559,0.000828328,0.000828328,0.00682833
20,280.084,1.92339,2.66629,1.865,0.21408,0.09677,0.09052,0.04151,2.64813,3.60497,2.47638,0.000865854,0.000865854,0.00186585
21,293.929,1.88396,2.6755,1.85517,0.21408,0.09677,0.09052,0.04151,2.64813,3.60497,2.47638,0.000868,0.000868,0.000868
22,307.862,1.92052,2.72878,1.87613,0.19557,0.12903,0.09026,0.04194,2.58477,3.53391,2.36195,0.0008614,0.0008614,0.0008614
23,322.066,1.87713,2.74393,1.91839,0.09366,0.12903,0.03164,0.01029,2.61525,3.56125,2.43004,0.0008548,0.0008548,0.0008548
24,335.801,1.93421,2.73369,1.92863,0.09366,0.12903,0.03164,0.01029,2.61525,3.56125,2.43004,0.0008482,0.0008482,0.0008482
25,350.056,1.89486,2.59354,1.86711,0.03869,0.12903,0.02082,0.00788,2.53152,3.68285,2.40619,0.0008416,0.0008416,0.0008416
26,364.179,1.93738,2.69029,1.91152,0.03869,0.12903,0.02082,0.00788,2.53152,3.68285,2.40619,0.000835,0.000835,0.000835
27,378.397,2.02401,2.65073,1.96293,0.02267,0.09677,0.0167,0.00602,2.52258,3.79427,2.34399,0.0008284,0.0008284,0.0008284
28,392.152,1.88483,2.60818,1.85851,0.04145,0.09677,0.02736,0.01149,2.48581,3.72803,2.31301,0.0008218,0.0008218,0.0008218
29,406.565,1.81155,2.43309,1.77472,0.04145,0.09677,0.02736,0.01149,2.48581,3.72803,2.31301,0.0008152,0.0008152,0.0008152
30,421.309,1.94955,2.64345,1.90155,0.25067,0.06452,0.04536,0.02169,2.53577,3.65349,2.34437,0.0008086,0.0008086,0.0008086
31,435.468,1.79512,2.55901,1.86173,0.07885,0.19355,0.06414,0.02467,2.64041,3.94197,2.425,0.000802,0.000802,0.000802
32,450.851,1.80834,2.52665,1.77166,0.07885,0.19355,0.06414,0.02467,2.64041,3.94197,2.425,0.0007954,0.0007954,0.0007954
33,466.19,1.75632,2.45263,1.82697,0.1765,0.09677,0.05503,0.01709,2.68489,3.75575,2.41047,0.0007888,0.0007888,0.0007888
34,480.822,1.77841,2.47471,1.81245,0.1765,0.09677,0.05503,0.01709,2.68489,3.75575,2.41047,0.0007822,0.0007822,0.0007822
35,495.349,1.77018,2.49107,1.80525,0.34174,0.09677,0.07732,0.0202,2.71306,3.47257,2.47835,0.0007756,0.0007756,0.0007756
36,509.758,1.81939,2.48216,1.75696,0.29751,0.09677,0.06737,0.02009,2.80017,3.36252,2.62034,0.000769,0.000769,0.000769
37,524.356,1.81089,2.46865,1.81987,0.29751,0.09677,0.06737,0.02009,2.80017,3.36252,2.62034,0.0007624,0.0007624,0.0007624
38,538.685,1.87615,2.43882,1.81235,0.14598,0.09677,0.04758,0.01173,2.82688,3.43582,2.70239,0.0007558,0.0007558,0.0007558
39,553.17,1.77876,2.53663,1.80337,0.12717,0.06452,0.0344,0.00903,2.7953,3.512,2.6224,0.0007492,0.0007492,0.0007492
